N-term, time, date, conId, Previous Price, Current Price, Difference in Price ($), Difference in Price (%), cumulativeAggregatedAvg, Previous Volume, Current Volume, Difference in Volume, cumulativeAggregatedAvgVolume, SMA 5, SMA20, Crossing SMA Condition, Volume Condition, Order
0,09:30:00,20221227,181764593,661.33,656.17,-5.160000000000082,-0.007802458681747511,0.007802458681747511,4110,4110,0,0,,,0,0,
1,09:40:00,20221227,181764593,656.17,653.08,-3.089999999999918,-0.004709145495831749,0.00625580208878963,4110,600,-3510,0.427007299270072992700729927,,,0,0,
2,09:50:00,20221227,181764593,653.08,652.82,-0.2599999999999909,-0.00039811355423530177,0.004303239243938187,600,2204,1604,1.1757826439578264395782643958,,,0,1,
3,10:00:00,20221227,181764593,652.82,652.23,-0.5900000000000318,-0.0009037713305352651,0.0034533722655874562,2204,3001,797,0.9722407942206384322245331426,,,0,0,
4,10:10:00,20221227,181764593,652.23,655.58,3.3500000000000227,0.0051362249513208875,0.0037899428027341423,3001,1600,-1401,0.8711615124174970836669973905,439.6625984,,0,0,
5,10:20:00,20221227,181764593,655.58,654.41,-1.1700000000000728,-0.001784679215351403,0.0034557322048370193,1600,522,-1078,0.8382595936812475697224978254,482.61207872,,0,0,
6,10:30:00,20221227,181764593,654.41,656.48,2.07000000000005,0.0031631545972709008,0.003413935403756145,522,1151,629,0.8906483435713375447101431826,517.385662976,,0,0,
7,10:40:00,20221227,181764593,656.48,655.34,-1.1399999999999864,-0.0017365342432366353,0.0032042602586912065,1151,995,-156,0.7962590903729655297273700719,544.9765303808,,0,0,
8,10:50:00,20221227,181764593,655.34,655.83,0.4900000000000091,0.0007477034821619451,0.002931309505743511,995,2097,1102,0.8308456012695483658994824983,567.1472243046401,,0,0,
9,11:00:00,20221227,181764593,655.83,653.11,-2.7200000000000273,-0.004147416251162691,0.0030529201802854287,2097,1000,-1097,0.8000738689919020653133492222,584.3397794437121,,0,0,
10,11:10:00,20221227,181764593,653.11,654.13,1.0199999999999818,0.0015617583561727455,0.002917360014457003,1000,1710,710,0.7918853354471836957394083838,598.2978235549697,,0,0,
11,11:20:00,20221227,181764593,654.13,652.2,-1.92999999999995,-0.0029504838487761607,0.0029201203339835995,1710,300,-1410,0.7946083411189827152465044688,609.0782588439757,,0,0,
12,11:30:00,20221227,181764593,652.2,652.43,0.2299999999999045,0.00035265256056409765,0.00272262281295133,300,1002,702,0.9134846225713686602275425866,617.7486070751806,,0,1,
13,11:40:00,20221227,181764593,652.43,654.01,1.580000000000041,0.002421715739619639,0.002701129450570495,1002,1105,103,0.8555781789003883781097782815,625.0008856601445,,0,0,
14,11:50:00,20221227,181764593,654.01,652.08,-1.92999999999995,-0.0029510252136816717,0.00271778916811124,1105,1638,533,0.8306964963854605254514793372,630.4167085281156,,0,0,
15,12:00:00,20221227,181764593,652.08,653.9,1.8199999999999363,0.002791068580542167,0.002722369131388173,1638,900,-738,0.8069373060207099019514212193,635.1133668224925,,0,0,
16,12:10:00,20221227,181764593,653.9,653.61,-0.2899999999999636,-0.00044349288882086503,0.0025883175877077433,900,700,-200,0.7725423010913870972614683371,638.812693457994,,0,0,
17,12:20:00,20221227,181764593,653.61,652.16,-1.4500000000000455,-0.002218448310154443,0.0025677692945103377,700,800,100,0.7375597923005957505882121596,641.4821547663952,,0,0,
